Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	144.915	144.915	104.4	true	false	false	false	true	true	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	118.175	118.175	65.4	false	false	true	false	true	true	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	145.533	145.533	115	true	false	false	false	true	true	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	118.147	118.147	65.2	false	false	true	false	true	true	false
test1-patch_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup.py_submit.patch	135.277	135.277	78.2	true	false	false	false	true	true	false
