Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230816122550_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816123313_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816124036_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816124618_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch										
20230816125340_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816010103_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816010825_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8.patch	-1	-1	-1	false	false	false	false	false	false	false
