Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	145.047	145.047	90.4	true	false	false	false	true	true	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	145.113	145.113	88.2	true	false	false	false	true	true	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	134.957	134.957	78.4	true	false	false	false	true	true	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	145.124	145.124	87.2	true	false	false	false	true	true	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230828_with_crank_drive_planner_radius_5.0_start_megin0.1_sharp_dist_threshold_15_animationflag_false.patch	144.799	144.799	87.8	true	false	false	false	true	true	false
