Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230816093730_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816094453_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816095216_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816095938_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816100701_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816101423_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816102146_air-gh_test1-patch_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	-1	-1	-1	false	false	false	false	false	false	false
